CustomerId,Age
1,14
2,50
3,18
4,40
5,25
22,25
23,21
24,13
25,45
26,25
27,20
891,32
892,21
893,22
894,43
895,33
896,18
897,22
898,12
899,16
900,29
901,47
902,45
903,28
904,31
905,49
906,27
907,11
908,16
909,30
910,42
911,40
912,14
913,24
914,38
915,26
916,17
917,26
918,37
919,42
920,44
921,38
922,35
923,11
924,36
925,44
926,24
927,26
928,36
929,47
930,31
931,24
932,38
933,31
934,33
935,29
936,21
937,15
938,19
939,31
940,43
941,20
942,37
943,16
944,48
945,34
946,40
947,50
948,22
949,12
950,15
951,16
952,39
953,40
954,29
955,42
956,23
957,44
958,14
959,33
960,18
961,26
962,18
963,33
964,25
965,37
966,30
967,39
968,10
969,25
970,44
971,40
972,28
973,49
974,31
975,11
976,45
977,37
978,35
979,31
980,46
981,27
982,40
983,39
984,41
985,10
986,50
987,35
988,26
989,28
990,46
991,46
992,46
993,49
994,38
995,50
996,43
997,37
998,46
999,30
1000,22
1001,24
1002,20
1003,41
1004,25
1005,12
1006,22
1007,37
1008,41
1009,27
1010,27
1011,17
1012,16
1013,27
1014,42
1015,31
1016,13
1017,43
1018,47
1019,36
1020,35
1021,46
1022,42
1023,27
1024,36
1025,48
1026,11
1027,15
1028,29
1029,24
1030,33
1031,20
1032,28
1033,10
1034,28
1035,32
1036,27
1037,30
1038,25
1039,13
1040,16
1041,33
1042,32
1043,34
1044,44
1045,44
1046,40
1047,24
1048,27
1049,37
1050,25
1051,26
1052,24
1053,39
1054,47
1055,42
1056,19
1057,49
1058,36
1059,50
1060,35
1061,38
1062,18
1063,44
1064,21
1065,31
1066,15
1067,47
1068,37
1069,32
1070,33
1071,37
1072,31
1073,48
1074,20
1075,31
1076,34
1077,44
1078,50
1079,40
1080,24
1081,19
1082,44
1083,17
1084,10
1085,44
1086,12
1087,39
1088,31
1089,17
1090,23
1091,28
1092,36
1093,39
1094,49
1095,20
1096,45
1097,27
1098,19
1099,43
1100,15
1101,22
1102,24
1103,47
1104,30
1105,44
1106,46
1107,43
1108,46
1109,32
1110,28
1111,45
1112,28
1113,19
1114,37
1115,21
1116,16
1117,47
1118,18
1119,21
1120,14
1121,32
1122,27
1123,47
1124,22
1125,43
1126,21
1127,38
1128,13
1129,22
1130,48
1131,21
1132,31
1133,47
1134,27
1135,38
1136,11
1137,23
1138,25
1139,16
1140,21
1141,18
1142,20
1143,17
1144,30
1145,21
1146,37
1147,25
1148,27
1149,36
1150,50
1151,35
1152,14
1153,35
1154,20
1155,23
1156,41
1157,47
1158,11
1159,12
1160,24
1161,14
1162,48
1163,27
1164,31
1165,50
1166,21
1167,28
1168,30
1169,46
1170,49
1171,40
1172,30
1173,46
1174,36
1175,12
1176,30
1177,48
1178,48
1179,23
1180,10
1181,37
1182,19
1183,17
1184,46
1185,50
1186,14
1187,44
1188,20
1189,36
1190,40
1191,41
1192,30
1193,30
1194,38
1195,35
1196,39
1197,36
1198,49
1199,32
1200,30
1201,17
1202,23
1203,31
1204,37
1205,49
1206,43
1207,41
1208,23
1209,20
1210,31
1211,38
1212,49
1213,13
1214,23
1215,41
1216,31
1217,13
1218,19
1219,14
1220,28
1221,14
1222,43
1223,33
1224,26
1225,10
1226,17
1227,36
1228,18
1229,44
1230,26
1231,41
1232,30
1233,11
1234,20
1235,43
1236,39
1237,29
1238,16
1239,24
1240,47
1241,47
1242,31
1243,31
1244,29
1245,44
1246,13
1247,46
1248,14
1249,40
1250,41
1251,35
1252,18
1253,25
1254,19
1255,41
1256,22
1257,19
1258,50
1259,10
1260,34
1261,23
1262,45
1263,49
1264,44
1265,18
1266,29
1267,24
1268,24
1269,28
1270,11
1271,50
1272,11
1273,47
1274,20
1275,44
1276,44
1277,19
1278,18
1279,13
1280,36
1281,34
1282,31
1283,21
1284,28
1285,13
1286,39
1287,15
1288,19
1289,49
1290,31
1291,19
1292,36
1293,40
1294,19
1295,11
1296,16
1297,16
1298,13
1299,50
1300,34
1301,40
1302,35
1303,48
1304,19
1305,34
1306,38
1307,44
1308,43
1309,41
1310,28
1311,50
1312,23
1313,11
1314,42
1315,10
1316,49
1317,21
1318,40
1319,35
1320,32
1321,46
1322,44
1323,50
1324,13
1325,19
1326,11
1327,28
1328,23
1329,30
1330,23
1331,50
1332,40
1333,32
1334,46
1335,36
1336,34
1337,42
1338,35
1339,48
1340,35
1341,18
1342,11
1343,13
1344,32
1345,14
1346,50
1347,39
1348,28
1349,38
1350,49
1351,25
1352,18
1353,16
1354,49
1355,29
1356,50
1357,45
1358,46
1359,23
1360,46
1361,16
1362,38
1363,23
1364,42
1365,45
1366,44
1367,14
1368,35
1369,39
1370,12
1371,10
1372,21
1373,16
1374,33
1375,29
1376,45
1377,42
1378,12
1379,21
1380,24
1381,31
1382,50
1383,35
1384,31
1385,22
1386,41
1387,27
1388,42
1389,25
1390,14
1391,36
1392,40
1393,20
1394,35
1395,43
1396,34
1397,41
1398,21
1399,15
1400,34
1401,27
1402,36
1403,46
1404,23
1405,10
1406,20
1407,28
1408,13
1409,32
1410,13
1411,22
1412,44
1413,24
1414,50
1415,25
1416,41
1417,15
1418,20
1419,23
1420,18
1421,23
1422,13
1423,32
1424,39
1425,20
1426,49
1427,46
1428,44
1429,42
1430,41
1431,34
1432,35
1433,16
1434,40
1435,33
1436,35
1437,22
1438,46
1439,15
1440,26
1441,22
1442,27
1443,40
1444,33
1445,50
1446,37
1447,30
1448,46
1449,38
1450,18
1451,45
1452,24
1453,27
1454,47
1455,34
1456,24
1457,18
1458,10
1459,46
1460,24
1461,12
1462,24
1463,45
1464,43
1465,31
1466,40
1467,15
1468,23
1469,17
1470,20
1471,26
1472,36
1473,34
1474,45
1475,26
1476,25
1477,24
1478,23
1479,16
1480,30
1481,38
1482,46
1483,29
1484,18
1485,20
1486,48
1487,13
1488,16
1489,39
1490,16
1491,23
1492,31
1493,20
1494,32
1495,12
1496,37
1497,15
1498,30
1499,23
1500,32
1501,14
1502,21
1503,14
1504,43
1505,49
1506,44
1507,22
1508,25
1509,27
1510,11
1511,33
1512,10
1513,45
1514,48
1515,41
1516,43
1517,31
1518,13
1519,12
1520,19
1521,41
1522,22
1523,43
1524,26
1525,46
1526,22
1527,48
1528,13
1529,10
1530,26
1531,24
1532,40
1533,25
1534,17
1535,15
1536,22
1537,49
1538,14
1539,49
1540,19
1541,47
1542,39
1543,32
1544,36
1545,45
1546,40
1547,37
1548,30
1549,17
1550,17
1551,21
1552,24
1553,18
1554,12
1555,32
1556,49
1557,11
1558,48
1559,37
1560,16
1561,43
1562,23
1563,27
1564,35
1565,50
1566,44
1567,43
1568,28
1569,12
1570,36
1571,22
1572,31
1573,20
1574,12
1575,22
1576,46
1577,15
1578,20
1579,20
1580,20
1581,22
1582,31
1583,31
1584,44
1585,50
1586,33
1587,36
1588,25
1589,42
1590,27
1591,14
1592,36
1593,46
1594,23
1595,25
1596,43
1597,48
1598,45
1599,19
1600,30
1601,25
1602,37
1603,42
1604,17
1605,31
1606,34
1607,40
1608,33
1609,24
1610,12
1611,34
1612,38
1613,25
1614,13
1615,43
1616,12
1617,42
1618,26
1619,49
1620,26
